Region;Filial;Mencion;Negativo;Neutral;Positivo;Territorio_comunicacion
Caribe;AFINIA;#ESNOTICIA Mantenimientos programados de Afinia en Córdoba para la próxima semana El equipo técnico de Afinia, filial del Grupo EPM, adelantará trabajos de robustecimiento de la infraestructura eléctrica entre el 5 y 7 de mayo, para entregar un servicio con mayor confiabilidad en distintos municipios de Córdoba. Para realizar estas...;;1;;Calidad del servicio
Caribe;AFINIA;#Atención | La ciudadanía en #Chinú, asegura que viene sufriendo de constantes apagones, muchos sin previo aviso por parte de @AfiniaGrupoEPM. En las últimas horas han padecido el no contar con el servicio de energía. #ElMeridianoTeUbica @EPMestamosahi @FicoGutierrez @Superservicios @MinEnergiaCo;1;;;Calidad del servicio
Caribe;AFINIA; Reportamos un poste en muy mal estado ubicado en la calle principal del barrio San Pedro en Turbaco  hacemos un llamado a la empresa Afinia Grupo EPM para que atienda el llamado de los habitantes de esta comunidad, quienes manifiestan que en varias ocasiones han solicitado el cambio, pero hasta hoy no lo han hecho por lo que podría...;1;;;Impacto social y ambiental
Caribe;AFINIA; Hacemos un llamado a la empresa Afinia Grupo EPM para que de manera urgent3 atienda está novedad en un transformador ubicado frente al campo deportivo del barrio Bonanza en Turbaco  desde el día de ayer miércoles 23 de abril en la noche, se encuentra este corto circuito que presenta chispa eléctrica y se nota la parte quemada, por lo que...;1;;;No asignado
Caribe;AFINIA;#TengaEnCuenta Afinia reprograma corte de energía de este 30 de abril que afectaba a #Magangué, Cicuco y Mompox La empresa Afinia, filial del Grupo EPM, informó que la suspensión de energía eléctrica inicialmente programada para este miércoles 30 de abril de 2025 en los municipios de Magangué, Cicuco y Mompox ha sido reprogramada. Sin embargo...;;1;;Calidad del servicio
Caribe;AFINIA; Esta semana tendremos un horario de atención especial en nuestra oficina comercial de Valledupar. Desliza y conoce más detalles ➡️ Recuerda que puedes hacer tus trámites y reportes en nuestros canales virtuales, disponibles 24/7. En Afinia, trabajamos para acompañarte siempre. ⚡ Photos from Afinia Grupo EPM's post https://www.facebook.com/...;;;1;Calidad del servicio
Caribe;AFINIA;Pilas Tu recibo llegará en una nueva fecha, pero tu ciclo de lectura y la fecha límite de pago siguen igual. Si aún no tienes la factura en físico, paga fácil con tu número NIC a través de Nequi y PSE.  Con el pago oportuno evitas suspensiones y disfrutas de forma continua del servicio que Afinia te brinda. Afinia Grupo EPM...;;;1;Calidad del servicio
Caribe;AFINIA;Pilas! Tu recibo llegará en una nueva fecha, pero tu ciclo de lectura y la fecha límite de pago siguen igual. Si aún no tienes la factura en físico, paga fácil con tu número NIC a través de Nequi y PSE.  Con el pago oportuno evitas suspensiones y disfrutas de forma continua del servicio que Afinia te brinda. Afinia Grupo EPM...;;;1;Calidad del servicio
Caribe;AFINIA;️Celebremos juntos el día del periodista, una figura clave en la sociedad que informa, investiga y lucha por la verdad. Agradecemos su dedicación y compromiso por una sociedad mejor informada. ¡Feliz día del periodista! Photos from Afinia Grupo EPM's post https://www.facebook.com/740058668128924/posts/1153974313404022;;;1;No asignado
Caribe;AFINIA; Desde Afinia celebramos el Día de la Tierra reafirmando nuestro compromiso con el medio ambiente a través de acciones concretas para proteger nuestro planeta. ¡Juntos podemos contribuir a un futuro más verde y sostenible!  Photos from Afinia Grupo EPM's post https://www.facebook.com/740058668128924/posts/1218873676914085;;;1;Impacto social y ambiental
Caribe;AFINIA; #AfiniaEnBolívar reafirma su compromiso ambiental con la entrega de 8.397 árboles a la Corporación Autónoma Regional del Sur de Bolívar, contribuyendo a la restauración ecológica y la mitigación del cambio climático. ♻️ Photos from Afinia Grupo EPM's post https://www.facebook.com/740058668128924/posts/1167535602047893;;;1;Impacto social y ambiental
Caribe;AFINIA;!Feliz lunes! ☕  Esta es nuestra #PrimeraPáginaSucre para hoy. ️ #ElMeridianoTeUbica ️ #LaVerdadSinAfán ️ #LíderesEnSucre @fans destacados Gobernación de Sucre Alcaldía de Sincelejo Policía Nacional de los Colombianos Agencia Nacional de Tierras Universidad de Sucre Elder Dayan Diaz Afinia Grupo EPM Procuraduría General de la Nación...;;;1;No asignado
Caribe;AFINIA;YA NO SE VA LA ENERGÍA EL VIERNES Afinia reprograma trabajos en la subestación El Carmen de Bolívar* Cartagena de Indias, mayo 7 de 2025 | Afinia, filial del Grupo EPM, anuncia un cambio en la programación de los trabajos de optimización al interior la subestación El Carmen de Bolívar, inicialmente previstos para el viernes 9 de mayo. Cabe...;;1;;Calidad del servicio
Caribe;AFINIA;Valledupar, La Paz y Chimichagua son algunos de los municipios del Cesar que estarán sin energía esta semana Afinia, filial del Grupo EPM, informó en un comunicado que entre el 13 y 15 de febrero realizará trabajos en distintos municipios del Cesar para...;1;;;Calidad del servicio
Caribe;AFINIA;Valledupar, febrero 5 de 2025 | Con el objetivo de seguir robusteciendo la infraestructura eléctrica y ofrecer a los usuarios-clientes de Cesar un servicio de mayor calidad, Afinia filial del grupo EPM, ejecutará el próximo sábado 8 de febrero importantes...;;;1;Calidad del servicio
Caribe;AFINIA;Un proyecto que hay que aprobar. Permitirá integrar a Gecelca, Urra , y Transcelca empresas del Estado con Aire intervenida y Afinia de EPM. Sería recuperar la gran empresa que tuvimos y que la dirigencia costeña quebró con el proyecto TEBSA, al igual que permitió altas tarifas.;1;;;Innovación y Liderazgo
