comentario,red_social,filial,comunidad,sentimiento,eje_tematico
Advertencia institucional de EPM sobre crisis operativa,Medios,Afinia,Test,Negativo,"Infraestructura, Riesgos"
Anuncio de cortes programados por mantenimientos,Medios,Afinia,Test,Negativo,"Cortes de energía, Bolívar"
Anuncio preventivo de suspensión por obras,Medios,Afinia,Test,Negativo,"Suspensión, Servicio"
Aviso de corte de energía en Cartagena,Medios,Afinia,Test,Negativo,"Servicio, Interrupciones"
Crítica política por racionamientos energéticos,Medios,Afinia,Test,Negativo,"Racionamiento, Gobernanza"
Deuda de entidades públicas y alcaldías con Afinia genera hueco operativo,Medios,Afinia,Test,Negativo,"Deudas, Gestión pública"
EPM reclama deuda estatal pendiente en subsidios,Medios,Afinia,Test,Negativo,"Subsidios, Gobierno"
Pérdidas operativas mensuales por fraudes e ilegalidades,Medios,Afinia,Test,Negativo,"Fraude, Pérdidas"
Anuncio de plan agresivo para mitigar pérdidas operativas,Medios,Afinia,Test,Neutro,"Pérdidas, Estrategia"
Debate político y estratégico sobre venta de acciones,Medios,Grupo EPM,Test,Neutro,"Gobierno, Acciones"
Informe sobre retos energéticos y acciones en curso,Medios,Afinia,Test,Neutro,"Retos financieros, Energía"
Llamado institucional a respaldo gubernamental,Medios,Afinia,Test,Neutro,"Gobierno, Infraestructura"
Posible cesión del mercado del Cesar al Gobierno,Medios,Afinia,Test,Neutro,"Cesión, Mercado"
Pronunciamiento de EPM sobre tarifas y medidas gubernamentales,Medios,Grupo EPM,Test,Neutro,"Tarifas, Gobierno"
Solicitud formal para reparto de operación con el Estado,Medios,Afinia,Test,Neutro,"Gobierno, Operación"
Defensa pública de la gestión de Afinia,Medios,Afinia,Test,Positivo,"Gestión, Recursos, Garantía"
Difusión del informe de sostenibilidad de CHEC,Facebook,CHEC,Test,Positivo,"Sostenibilidad, Reporte"
"EPM ha transferido aproximadamente $2,88 billones a Afinia desde su entrada en operación en octubre de 2020",Medios,Afinia,Test,Positivo,"Inversión, Infraestructura, Caribe"
Informe de sostenibilidad con resultados positivos,Medios,ESSA,Test,Positivo,"Sostenibilidad, Resultados"
Plan piloto de energía concertada como estrategia de eficiencia,Medios,Afinia,Test,Positivo,"Consumo, Cultura energética"
"¡Tu asesor FEPEP en BUCARAMANGA! ✨ 📍 Arbey Alexis Castellanos está aquí para ti: 📱 Celular: 3002630036 📧 Correo: arbey.castellanos@fepep.com.co Servirte es un privilegio. Nuestro compromiso es comprender tu realidad, escucharte y ofrecerte la orientación que necesitas para acompañarte de manera efectiva y responsable hacia tu desarrollo y progreso. 🌟💼 Juntos hacemos la diferencia. ❤️ . . #AsesorFEPEP #Bucaramanga #ESSA #MiFEPEP #FondosDeEmpleados #GrupoEPM #MiFEPEP #FEPEP",Instagram,ESSA,Test,Neutro,Cortes De Energía
@EPMestamosahi @AfiniaGrupoEPM Quiero hacer una denuncia publica del proceder del grupo EPM en su filial de SOMOS Me tienen reportado en centrales d riesgo y desde el mes de diciembre de 2024 pague Le estoy pidiendo paz y Salvo y no hay poder humano para q resuelvan Acá la respuesta al derecho d petición https://t.co/wchJYF6F97,Twitter,Afinia,Test,Neutro,Cortes De Energía
"*1.000 árboles para Montería, Afinia de la mano de otras entidades hicieron siembra por la vida del territorio* _• La filial del Grupo EPM tiene proyectado sembrar este año 12.000 mil árboles en el territorio donde opera._ _• Recientemente, en el municipio Montelíbano, Afinia realizó la siembra de 7.512 árboles frutales._ _• En alianza con otras entidades conmemoramos el Día de la Tierra._ * Con el propósito de contribuir activamente a la restauración y conservación del ecosistema local, así como generar conciencia ambiental; el voluntariado Afinia, filial del Grupo EMP, de la mano de los propietarios de la Ganadería El Rosario, ubicada en el corregimiento Guateque de la ciudad de Montería y diferentes entidades, sembraron 1.000 árboles en este predio certificado en prácticas de sostenibilidad. La Policía de Carabineros, Personería de Montería y El Ejército participaron en esta siembra, que contó con el apoyo de la Corporación Autónoma Regional de los Valles del Sinú y del San Jorge (CVS), en la que se plantaron especies nativas de la región como campano, roble, cedro, ceiba, sangregao y polvillo, entre otras que fueron seleccionadas cuidadosamente para fortalecer la biodiversidad, mejorar la calidad del aire y crear corredores biológicos conectados al río Sinú. Para Afinia, cada árbol representa una esperanza para las futuras generaciones, por ello, su compromiso es seguir sembrando vida y fomentando el sentido de pertenencia con el entorno natural. En 2025 la compañía tiene proyectada la siembra de más de 12.000 árboles, de los cuales, 7.512 fueron sembrados recientemente en el municipio Montelíbano. La Ganadería El Rosario tiene certificación de talla internacional B o B Corp, que es un sello que reconoce a las empresas que cumplen altos estándares de desempeño social y ambiental, transparencia y responsabilidad. La filial del Grupo EPM sigue avanzando de la mano de aliados estratégicos en las acciones de responsabilidad social corporativa con el objetivo de contribuir a la armonía de la vida para un mundo mejor. @afiniagrupoepm @ranchocorona_elrosario @dellarosa.group @corporacioncvs @alcaldiademontelibano @col_ejercito #ElMeridianoTeUbica",Facebook,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Sostenibilidad"
